Files already downloaded
3000
750
Shapes: (3000, 28, 28) (3000,) (10000, 28, 28) (10000,)
Epoch 1, cost = 2.302347, acc = 12.08%
Epoch 2, cost = 2.301970, acc = 12.93%
Epoch 3, cost = 2.301534, acc = 13.55%
Epoch 4, cost = 2.301188, acc = 14.22%
Epoch 5, cost = 2.301013, acc = 15.27%
Epoch 6, cost = 2.300433, acc = 16.34%
Epoch 7, cost = 2.299424, acc = 16.85%
Epoch 8, cost = 2.299380, acc = 17.52%
Epoch 9, cost = 2.298141, acc = 18.15%
Epoch 10, cost = 2.296588, acc = 19.37%
Epoch 11, cost = 2.295994, acc = 20.18%
Epoch 12, cost = 2.294373, acc = 20.66%
Epoch 13, cost = 2.291017, acc = 20.60%
Epoch 14, cost = 2.289285, acc = 21.70%
Epoch 15, cost = 2.285325, acc = 22.21%
Epoch 16, cost = 2.278355, acc = 22.50%
Epoch 17, cost = 2.270732, acc = 23.94%
Epoch 18, cost = 2.259182, acc = 25.01%
Epoch 19, cost = 2.242016, acc = 27.04%
Epoch 20, cost = 2.223594, acc = 29.99%
Epoch 21, cost = 2.198664, acc = 32.65%
Epoch 22, cost = 2.173497, acc = 35.19%
Epoch 23, cost = 2.144726, acc = 36.84%
Epoch 24, cost = 2.115907, acc = 38.23%
Epoch 25, cost = 2.098519, acc = 39.67%
Epoch 26, cost = 2.079335, acc = 41.15%
Epoch 27, cost = 2.055884, acc = 45.48%
Epoch 28, cost = 2.019435, acc = 47.51%
Epoch 29, cost = 2.000562, acc = 48.70%
Epoch 30, cost = 1.983940, acc = 49.95%
Epoch 31, cost = 1.971712, acc = 50.17%
Epoch 32, cost = 1.965743, acc = 51.16%
Epoch 33, cost = 1.958756, acc = 51.15%
Epoch 34, cost = 1.954430, acc = 51.98%
Epoch 35, cost = 1.941365, acc = 53.10%
Epoch 36, cost = 1.933357, acc = 55.12%
Epoch 37, cost = 1.916905, acc = 56.32%
Epoch 38, cost = 1.892919, acc = 58.75%
Epoch 39, cost = 1.881762, acc = 59.47%
Epoch 40, cost = 1.878299, acc = 61.26%
Epoch 41, cost = 1.869252, acc = 61.47%
Epoch 42, cost = 1.851986, acc = 62.61%
Epoch 43, cost = 1.838355, acc = 62.62%
Epoch 44, cost = 1.837177, acc = 63.02%
Epoch 45, cost = 1.823520, acc = 63.86%
Epoch 46, cost = 1.828872, acc = 64.24%
Epoch 47, cost = 1.824142, acc = 64.59%
Epoch 48, cost = 1.819328, acc = 65.71%
Epoch 49, cost = 1.811137, acc = 65.44%
Epoch 50, cost = 1.804544, acc = 65.98%
Epoch 51, cost = 1.804613, acc = 66.29%
Epoch 52, cost = 1.800726, acc = 65.78%
Epoch 53, cost = 1.797271, acc = 66.69%
Epoch 54, cost = 1.801178, acc = 66.45%
Epoch 55, cost = 1.793150, acc = 66.56%
Epoch 56, cost = 1.788768, acc = 66.94%
Epoch 57, cost = 1.784539, acc = 67.20%
Epoch 58, cost = 1.784184, acc = 67.20%
Epoch 59, cost = 1.779840, acc = 67.82%
Epoch 60, cost = 1.784321, acc = 67.98%
Epoch 61, cost = 1.778139, acc = 68.29%
Epoch 62, cost = 1.782014, acc = 67.73%
Epoch 63, cost = 1.774918, acc = 68.12%
Epoch 64, cost = 1.771812, acc = 68.40%
Epoch 65, cost = 1.774880, acc = 67.89%
Epoch 66, cost = 1.773747, acc = 68.87%
Epoch 67, cost = 1.766961, acc = 68.51%
Epoch 68, cost = 1.773745, acc = 68.90%
Epoch 69, cost = 1.764155, acc = 69.50%
Epoch 70, cost = 1.754832, acc = 69.34%
Epoch 71, cost = 1.754907, acc = 69.74%
Epoch 72, cost = 1.759368, acc = 69.97%
Epoch 73, cost = 1.745919, acc = 70.21%
Epoch 74, cost = 1.751953, acc = 70.91%
Epoch 75, cost = 1.746578, acc = 71.89%
Epoch 76, cost = 1.738124, acc = 71.98%
Epoch 77, cost = 1.743398, acc = 72.40%
Epoch 78, cost = 1.730646, acc = 71.89%
Epoch 79, cost = 1.729658, acc = 72.47%
Epoch 80, cost = 1.730871, acc = 72.55%
Epoch 81, cost = 1.728280, acc = 72.60%
Epoch 82, cost = 1.721088, acc = 73.27%
Epoch 83, cost = 1.719938, acc = 73.42%
Epoch 84, cost = 1.723894, acc = 73.14%
Epoch 85, cost = 1.727884, acc = 73.89%
Epoch 86, cost = 1.715265, acc = 73.76%
Epoch 87, cost = 1.713858, acc = 74.07%
Epoch 88, cost = 1.711691, acc = 74.80%
Epoch 89, cost = 1.709709, acc = 74.61%
Epoch 90, cost = 1.711800, acc = 75.66%
Epoch 91, cost = 1.695087, acc = 75.57%
Epoch 92, cost = 1.695693, acc = 75.75%
Epoch 93, cost = 1.697250, acc = 76.40%
Epoch 94, cost = 1.700555, acc = 76.22%
Epoch 95, cost = 1.686085, acc = 76.61%
Epoch 96, cost = 1.691475, acc = 76.76%
Epoch 97, cost = 1.683409, acc = 77.11%
Epoch 98, cost = 1.686459, acc = 77.16%
Epoch 99, cost = 1.681147, acc = 77.25%
Epoch 100, cost = 1.680419, acc = 77.53%
Epoch 101, cost = 1.673580, acc = 77.55%
Epoch 102, cost = 1.677214, acc = 77.51%
Epoch 103, cost = 1.683124, acc = 77.81%
Epoch 104, cost = 1.683719, acc = 77.98%
Epoch 105, cost = 1.679163, acc = 77.74%
Epoch 106, cost = 1.673025, acc = 78.40%
Epoch 107, cost = 1.676659, acc = 78.45%
Epoch 108, cost = 1.669115, acc = 78.34%
Epoch 109, cost = 1.674879, acc = 78.46%
Epoch 110, cost = 1.671630, acc = 77.78%
Epoch 111, cost = 1.674546, acc = 78.70%
Epoch 112, cost = 1.663001, acc = 78.67%
Epoch 113, cost = 1.670619, acc = 78.56%
Epoch 114, cost = 1.668511, acc = 78.49%
Epoch 115, cost = 1.664892, acc = 78.68%
Epoch 116, cost = 1.661183, acc = 78.92%
Epoch 117, cost = 1.668123, acc = 78.97%
Epoch 118, cost = 1.661128, acc = 78.82%
Epoch 119, cost = 1.659304, acc = 78.93%
Epoch 120, cost = 1.658962, acc = 79.11%
Epoch 121, cost = 1.658111, acc = 78.99%
Epoch 122, cost = 1.656149, acc = 79.85%
Epoch 123, cost = 1.656395, acc = 79.54%
Epoch 124, cost = 1.652799, acc = 79.81%
Epoch 125, cost = 1.656026, acc = 79.69%
Epoch 126, cost = 1.656019, acc = 79.46%
Epoch 127, cost = 1.655467, acc = 79.79%
Epoch 128, cost = 1.655252, acc = 79.35%
Epoch 129, cost = 1.651712, acc = 80.07%
Epoch 130, cost = 1.654084, acc = 79.89%
Epoch 131, cost = 1.656687, acc = 80.02%
Epoch 132, cost = 1.650442, acc = 79.60%
Epoch 133, cost = 1.650594, acc = 79.86%
Epoch 134, cost = 1.656214, acc = 80.13%
Epoch 135, cost = 1.652083, acc = 80.08%
Epoch 136, cost = 1.652926, acc = 80.08%
Epoch 137, cost = 1.656028, acc = 79.83%
Epoch 138, cost = 1.649908, acc = 80.15%
Epoch 139, cost = 1.648554, acc = 80.13%
Epoch 140, cost = 1.647057, acc = 80.32%
Epoch 141, cost = 1.646927, acc = 80.29%
Epoch 142, cost = 1.644961, acc = 80.15%
Epoch 143, cost = 1.643436, acc = 80.49%
Epoch 144, cost = 1.649619, acc = 80.85%
Epoch 145, cost = 1.644468, acc = 80.81%
Epoch 146, cost = 1.645563, acc = 80.50%
Epoch 147, cost = 1.649029, acc = 80.04%
Epoch 148, cost = 1.645052, acc = 80.84%
Epoch 149, cost = 1.637603, acc = 80.86%
Epoch 150, cost = 1.641709, acc = 80.65%
Epoch 151, cost = 1.649216, acc = 80.79%
Epoch 152, cost = 1.641688, acc = 80.62%
Epoch 153, cost = 1.641410, acc = 81.06%
Epoch 154, cost = 1.636103, acc = 80.59%
Epoch 155, cost = 1.640026, acc = 80.89%
Epoch 156, cost = 1.644093, acc = 80.96%
Epoch 157, cost = 1.646141, acc = 81.14%
Epoch 158, cost = 1.641380, acc = 80.39%
Epoch 159, cost = 1.642258, acc = 80.74%
Epoch 160, cost = 1.639453, acc = 81.15%
Epoch 161, cost = 1.642354, acc = 81.16%
